Aerosol,Can
Aluminium foil,Other
Battery,Background
Aluminium blister pack,Other
Carded blister pack,Other
Clear plastic bottle,Bottle
Glass bottle,Bottle
Other plastic bottle,Bottle
Plastic bottle cap,Background
Metal bottle cap,Background
Broken glass,Background
Drink can,Can
Food Can,Can
Corrugated carton,Carton
Drink carton,Carton
Egg carton,Carton
Meal carton,Carton
Other carton,Carton
Paper cup,Cup
Disposable plastic cup,Cup
Foam cup,Cup
Glass cup,Cup
Other plastic cup,Cup
Food waste,Background
Plastic lid,Lid
Metal lid,Lid
Magazine paper,Paper
Tissues,Paper
Wrapping paper,Paper
Normal paper,Paper
Paper bag,Paper
Plastified paper bag,Paper
Pizza box,Carton
Garbage bag,Plastic bag + wrapper
Single-use carrier bag,Plastic bag + wrapper
Polypropylene bag,Plastic bag + wrapper
Produce bag,Plastic bag + wrapper
Cereal bag,Plastic bag + wrapper
Bread bag,Plastic bag + wrapper
Plastic film,Plastic bag + wrapper
Crisp packet,Plastic bag + wrapper
Other plastic wrapper,Plastic bag + wrapper
Retort pouch,Plastic bag + wrapper
Spread tub,Other
Tupperware,Other
Disposable food container,Other
Foam food container,Other
Other plastic container,Other
Plastic glooves,Other
Plastic utensils,Other
Pop tab,Background
Rope & strings,Background
Scrap metal,Other
Shoe,Background
Six pack rings,Plastic bag + wrapper
Squeezable tube,Other
Plastic straw,Straw
Paper straw,Straw
Styrofoam piece,Styrofoam piece
Toilet tube,Carton
Unlabeled litter,Other
Glass jar,Other
Other plastic,Other
Cigarette,Background
